donor_id,Recency,Frequency,Monetary,Time,donated_last_quarter
D02567,7,4,1800,20,0
D02568,0,2,900,14,1
D02569,5,1,450,5,0
D02570,2,4,1800,24,1
D02571,7,12,5400,60,0
D02572,0,6,2700,42,1
D02573,0,1,450,0,1
D02574,3,1,450,3,1
D02575,1,2,900,12,1
D02576,0,1,450,0,1
D02577,4,5,2250,25,0
D02578,6,5,2250,25,0
D02579,0,15,6750,105,1
D02580,0,1,450,0,1
D02581,3,1,450,3,1
D02582,4,2,900,8,0
D02583,0,3,1350,12,1
D02584,1,2,900,8,1
D02585,1,8,3600,40,1
D02586,6,2,900,6,0
D02587,3,2,900,10,1
D02588,12,4,1800,12,0
D02589,1,2,900,10,1
D02590,3,2,900,12,1
D02591,4,5,2250,35,0
D02592,4,1,450,4,0
D02593,4,5,2250,25,0
D02594,7,4,1800,20,0
D02595,1,4,1800,24,1
D02596,4,31,13950,93,0
D02597,3,1,450,3,1
D02598,1,2,900,6,1
D02599,1,4,1800,16,1
D02600,12,3,1350,12,0
D02601,15,3,1350,15,0
D02602,4,3,1350,18,0
D02603,6,2,900,6,0
D02604,27,6,2700,42,0
D02605,10,2,900,10,0
D02606,5,1,450,5,0
D02607,4,6,2700,24,0
D02608,2,3,1350,9,1
D02609,3,1,450,3,1
D02610,5,2,900,6,0
D02611,8,2,900,8,0
D02612,8,9,4050,54,0
D02613,1,2,900,6,1
D02614,0,50,22500,120,1
D02615,1,4,1800,24,1
D02616,5,1,450,5,0
D02617,4,2,900,14,0
D02618,3,9,4050,45,1
D02619,16,6,2700,18,0
D02620,0,3,1350,21,1
D02621,3,2,900,14,1
D02622,2,11,4950,33,1
D02623,5,1,450,5,0
D02624,8,2,900,8,0
D02625,4,1,450,4,0
D02626,1,1,450,1,1
D02627,3,1,450,3,1
D02628,2,1,450,2,1
D02629,2,1,450,2,1
D02630,2,1,450,2,1
D02631,2,8,3600,40,1
D02632,3,2,900,6,1
D02633,10,6,2700,30,0
D02634,9,4,1800,24,0
D02635,3,5,2250,35,1
D02636,12,2,900,12,0
D02637,3,3,1350,15,1
D02638,2,1,450,2,1
D02639,0,3,1350,12,1
D02640,2,3,1350,21,1
D02641,8,2,900,8,0
D02642,1,3,1350,18,1
D02643,2,1,450,2,1
D02644,1,10,4500,60,1
D02645,1,10,4500,50,1
D02646,12,3,1350,21,0
D02647,2,5,2250,30,1
D02648,4,5,2250,25,0
D02649,11,2,900,14,0
D02650,2,3,1350,15,1
D02651,9,3,1350,9,0
D02652,5,3,1350,15,0
D02653,2,1,450,2,1
D02654,0,2,900,12,1
D02655,14,5,2250,35,0
D02656,5,1,450,5,0
D02657,3,1,450,3,1
D02658,3,1,450,3,1
D02659,0,1,450,0,1
D02660,2,1,450,2,1
D02661,1,6,2700,24,1
D02662,2,2,900,6,1
D02663,3,1,450,3,1
D02664,5,1,450,5,0
D02665,4,3,1350,21,0
D02666,3,1,450,3,1
D02667,5,1,450,5,0
D02668,8,2,900,8,0
D02669,6,2,900,6,0
D02670,2,1,450,2,1
D02671,3,2,900,14,1
D02672,8,2,900,10,0
D02673,3,1,450,3,1
D02674,5,1,450,5,0
D02675,18,9,4050,27,0
D02676,5,1,450,5,0
D02677,3,1,450,3,1
D02678,5,1,450,5,0
D02679,4,1,450,4,0
D02680,1,1,450,1,1
D02681,0,5,2250,20,1
D02682,5,7,3150,49,0
D02683,1,1,450,1,1
D02684,1,5,2250,35,1
D02685,3,1,450,3,1
D02686,2,3,1350,21,1
D02687,2,1,450,2,1
D02688,3,3,1350,15,1
D02689,6,2,900,12,0
D02690,3,10,4500,30,1
D02691,2,1,450,2,1
D02692,1,1,450,1,1
D02693,6,28,12600,120,0
D02694,3,1,450,3,1
D02695,1,1,450,1,1
D02696,0,2,900,6,1
D02697,1,32,14400,120,1
D02698,14,4,1800,24,0
D02699,3,1,450,3,1
D02700,0,50,22500,120,1
D02701,3,2,900,14,1
D02702,1,10,4500,40,1
D02703,8,2,900,12,0
D02704,3,19,8550,57,1
D02705,10,2,900,10,0
D02706,0,2,900,12,1
D02707,4,3,1350,12,0
D02708,7,2,900,10,0
D02709,12,3,1350,12,0
D02710,1,2,900,14,1
D02711,4,5,2250,25,0
D02712,1,1,450,1,1
D02713,1,2,900,12,1
D02714,3,1,450,3,1
D02715,4,11,4950,77,0
D02716,6,9,4050,27,0
D02717,0,11,4950,55,1
D02718,4,1,450,4,0
D02719,3,6,2700,42,1
D02720,8,2,900,8,0
D02721,2,2,900,10,1
D02722,0,5,2250,25,1
D02723,2,3,1350,12,1
D02724,6,6,2700,36,0
D02725,0,2,900,6,1
D02726,5,1,450,5,0
D02727,9,2,900,12,0
D02728,5,1,450,5,0
D02729,2,1,450,2,1
D02730,7,2,900,14,0
D02731,5,1,450,5,0
D02732,1,3,1350,21,1
D02733,5,1,450,5,0
D02734,0,6,2700,24,1
D02735,12,4,1800,12,0
D02736,0,1,450,0,1
D02737,4,2,900,10,0
D02738,4,2,900,10,0
D02739,0,1,450,0,1
D02740,3,1,450,3,1
D02741,2,1,450,2,1
D02742,0,1,450,0,1
D02743,2,1,450,2,1
D02744,6,25,11250,100,0
D02745,12,3,1350,12,0
D02746,1,1,450,1,1
D02747,0,4,1800,20,1
D02748,8,2,900,8,0
D02749,2,1,450,2,1
D02750,10,5,2250,35,0
D02751,0,12,5400,72,1
D02752,4,1,450,4,0
D02753,10,2,900,10,0
D02754,4,1,450,4,0
D02755,1,2,900,12,1
D02756,4,3,1350,9,0
D02757,0,2,900,6,1
D02758,2,2,900,10,1
D02759,6,50,22500,120,0
D02760,13,6,2700,36,0
D02761,4,2,900,10,0
D02762,7,3,1350,21,0
D02763,1,3,1350,21,1
D02764,27,10,4500,60,0
D02765,3,5,2250,25,1
D02766,3,2,900,14,1
D02767,0,4,1800,28,1
D02768,7,2,900,14,0
D02769,0,1,450,0,1
D02770,1,2,900,14,1
D02771,3,2,900,10,1
D02772,0,1,450,0,1
D02773,2,4,1800,28,1
D02774,5,3,1350,21,0
D02775,12,6,2700,30,0
D02776,5,1,450,5,0
D02777,9,2,900,14,0
D02778,3,4,1800,20,1
D02779,5,16,7200,112,0
D02780,2,1,450,2,1
D02781,3,2,900,14,1
D02782,3,1,450,3,1
D02783,3,8,3600,40,1
D02784,4,3,1350,21,0
D02785,0,2,900,6,1
D02786,3,2,900,14,1
D02787,0,8,3600,40,1
D02788,9,3,1350,18,0
D02789,1,1,450,1,1
D02790,5,1,450,5,0
D02791,1,1,450,1,1
D02792,9,3,1350,9,0
D02793,0,8,3600,48,1
D02794,4,1,450,4,0
D02795,1,2,900,10,1
D02796,0,1,450,0,1
D02797,4,1,450,4,0
D02798,0,1,450,0,1
D02799,8,2,900,8,0
D02800,10,2,900,10,0
D02801,3,3,1350,15,1
D02802,1,35,15750,105,1
D02803,3,1,450,3,1
D02804,8,2,900,10,0
D02805,0,3,1350,12,1
D02806,5,1,450,5,0
D02807,1,3,1350,15,1
D02808,2,6,2700,18,1
D02809,2,5,2250,20,1
D02810,0,1,450,0,1
D02811,3,4,1800,16,1
D02812,3,1,450,3,1
D02813,6,2,900,6,0
D02814,5,2,900,14,0
D02815,2,1,450,2,1
D02816,2,1,450,2,1
D02817,6,9,4050,45,0
D02818,0,3,1350,15,1
D02819,3,2,900,14,1
D02820,4,1,450,4,0
D02821,3,1,450,3,1
D02822,1,2,900,10,1
D02823,6,3,1350,18,0
D02824,0,3,1350,9,1
D02825,0,3,1350,18,1
D02826,0,1,450,0,1
D02827,9,2,900,14,0
D02828,0,7,3150,42,1
D02829,2,10,4500,40,1
D02830,3,5,2250,30,1
D02831,4,2,900,10,0
D02832,3,1,450,3,1
D02833,1,2,900,12,1
D02834,14,2,900,14,0
D02835,1,3,1350,18,1
D02836,10,5,2250,25,0
D02837,2,1,450,2,1
D02838,1,2,900,6,1
D02839,2,1,450,2,1
D02840,0,1,450,0,1
D02841,0,1,450,0,1
D02842,4,2,900,10,0
D02843,1,5,2250,25,1
D02844,5,1,450,5,0
D02845,4,1,450,4,0
D02846,1,1,450,1,1
D02847,1,1,450,1,1
D02848,1,2,900,6,1
D02849,0,27,12150,108,1
D02850,6,2,900,6,0
D02851,2,12,5400,84,1
D02852,4,3,1350,9,0
D02853,0,1,450,0,1
D02854,15,4,1800,24,0
D02855,1,1,450,1,1
D02856,0,4,1800,12,1
D02857,2,1,450,2,1
D02858,1,10,4500,60,1
D02859,4,1,450,4,0
D02860,0,2,900,14,1
D02861,4,1,450,4,0
D02862,3,1,450,3,1
D02863,0,3,1350,12,1
D02864,4,1,450,4,0
D02865,21,3,1350,21,0
D02866,4,2,900,14,0
D02867,2,1,450,2,1
D02868,0,21,9450,105,1
D02869,7,3,1350,21,0
D02870,1,1,450,1,1
D02871,2,1,450,2,1
D02872,2,3,1350,9,1
D02873,2,7,3150,49,1
D02874,1,1,450,1,1
D02875,0,3,1350,21,1
D02876,4,1,450,4,0
D02877,9,5,2250,15,0
D02878,0,4,1800,12,1
D02879,0,2,900,12,1
D02880,9,2,900,12,0
D02881,6,14,6300,42,0
D02882,7,4,1800,28,0
D02883,0,2,900,12,1
D02884,0,3,1350,12,1
D02885,8,4,1800,24,0
D02886,4,1,450,4,0
D02887,0,1,450,0,1
D02888,2,1,450,2,1
D02889,5,1,450,5,0
D02890,1,1,450,1,1
D02891,2,25,11250,75,1
D02892,2,1,450,2,1
D02893,6,10,4500,60,0
D02894,1,4,1800,24,1
D02895,4,1,450,4,0
D02896,6,12,5400,36,0
D02897,12,5,2250,35,0
D02898,3,2,900,12,1
D02899,4,6,2700,24,0
D02900,12,2,900,12,0
D02901,4,1,450,4,0
D02902,2,7,3150,28,1
D02903,6,11,4950,66,0
D02904,3,17,7650,85,1
D02905,0,2,900,10,1
D02906,17,6,2700,42,0
D02907,5,6,2700,24,0
D02908,3,4,1800,28,1
D02909,1,9,4050,45,1
D02910,12,6,2700,30,0
D02911,0,3,1350,12,1
D02912,0,3,1350,21,1
D02913,10,12,5400,60,0
D02914,4,1,450,4,0
D02915,0,1,450,0,1
D02916,4,8,3600,48,0
D02917,5,1,450,5,0
D02918,1,2,900,12,1
D02919,1,2,900,14,1
D02920,5,1,450,5,0
D02921,5,1,450,5,0
D02922,6,2,900,12,0
D02923,0,2,900,8,1
D02924,10,5,2250,20,0
D02925,8,2,900,8,0
D02926,3,1,450,3,1
D02927,5,3,1350,12,0
D02928,3,1,450,3,1
D02929,7,46,20700,120,0
D02930,1,2,900,12,1
D02931,4,4,1800,12,0
D02932,4,3,1350,12,0
D02933,9,3,1350,15,0
D02934,4,1,450,4,0
D02935,2,1,450,2,1
D02936,1,1,450,1,1
D02937,2,1,450,2,1
D02938,7,3,1350,21,0
D02939,1,2,900,6,1
D02940,2,3,1350,15,1
D02941,5,1,450,5,0
D02942,0,3,1350,21,1
D02943,1,3,1350,9,1
D02944,2,2,900,10,1
D02945,5,1,450,5,0
D02946,9,2,900,12,0
D02947,15,3,1350,21,0
D02948,2,1,450,2,1
D02949,0,1,450,0,1
D02950,0,1,450,0,1
D02951,0,4,1800,20,1
D02952,1,2,900,8,1
D02953,2,6,2700,42,1
D02954,1,2,900,14,1
D02955,6,2,900,6,0
D02956,8,4,1800,12,0
D02957,0,1,450,0,1
D02958,2,1,450,2,1
D02959,4,2,900,6,0
D02960,1,4,1800,24,1
D02961,9,3,1350,12,0
D02962,2,1,450,2,1
D02963,8,2,900,8,0
D02964,14,3,1350,21,0
D02965,6,6,2700,30,0
D02966,10,10,4500,30,0
D02967,5,1,450,5,0
D02968,4,1,450,4,0
D02969,1,2,900,12,1
D02970,6,2,900,6,0
D02971,1,2,900,6,1
D02972,25,6,2700,36,0
D02973,3,1,450,3,1
D02974,5,1,450,5,0
D02975,0,3,1350,18,1
D02976,0,1,450,0,1
D02977,1,1,450,1,1
D02978,4,1,450,4,0
D02979,0,1,450,0,1
D02980,5,1,450,5,0
D02981,2,1,450,2,1
D02982,5,1,450,5,0
D02983,5,17,7650,68,0
D02984,3,1,450,3,1
D02985,4,3,1350,12,0
D02986,0,2,900,8,1
D02987,8,3,1350,15,0
D02988,2,6,2700,30,1
D02989,0,3,1350,18,1
D02990,12,9,4050,27,0
D02991,13,8,3600,24,0
D02992,8,7,3150,49,0
D02993,3,2,900,14,1
D02994,4,4,1800,12,0
D02995,0,1,450,0,1
D02996,5,1,450,5,0
D02997,2,2,900,10,1
D02998,12,5,2250,35,0
D02999,5,1,450,5,0
D03000,0,2,900,8,1
D03001,0,23,10350,115,1
D03002,1,3,1350,18,1
D03003,8,2,900,12,0
D03004,4,1,450,4,0
D03005,2,18,8100,72,1
D03006,1,1,450,1,1
D03007,9,3,1350,9,0
D03008,11,14,6300,84,0
D03009,2,1,450,2,1
D03010,1,7,3150,49,1
D03011,9,3,1350,18,0
D03012,2,1,450,2,1
D03013,6,5,2250,30,0
D03014,0,1,450,0,1
D03015,11,6,2700,42,0
D03016,4,1,450,4,0
D03017,5,1,450,5,0
D03018,5,1,450,5,0
D03019,0,1,450,0,1
D03020,4,1,450,4,0
D03021,0,1,450,0,1
D03022,0,3,1350,12,1
D03023,0,1,450,0,1
D03024,4,1,450,4,0
D03025,0,1,450,0,1
D03026,5,4,1800,12,0
D03027,3,4,1800,16,1
D03028,0,2,900,14,1
D03029,1,1,450,1,1
D03030,2,10,4500,50,1
D03031,4,26,11700,120,0
D03032,0,3,1350,21,1
D03033,6,5,2250,25,0
D03034,2,1,450,2,1
D03035,1,11,4950,33,1
D03036,1,1,450,1,1
D03037,4,1,450,4,0
D03038,6,13,5850,65,0
D03039,11,6,2700,18,0
D03040,10,2,900,12,0
D03041,3,1,450,3,1
D03042,1,1,450,1,1
D03043,3,5,2250,20,1
D03044,3,1,450,3,1
D03045,11,6,2700,30,0
D03046,1,15,6750,105,1
D03047,16,5,2250,20,0
D03048,3,1,450,3,1
D03049,14,2,900,14,0
D03050,0,1,450,0,1
D03051,4,3,1350,9,0
D03052,1,2,900,10,1
D03053,3,9,4050,45,1
D03054,8,2,900,8,0
D03055,2,2,900,14,1
D03056,3,7,3150,28,1
D03057,1,4,1800,16,1
D03058,6,2,900,12,0
D03059,5,1,450,5,0
D03060,1,7,3150,21,1
D03061,8,2,900,8,0
D03062,1,1,450,1,1
D03063,3,1,450,3,1
D03064,1,2,900,8,1
D03065,18,7,3150,35,0
D03066,6,3,1350,21,0
D03067,2,6,2700,24,1
D03068,4,1,450,4,0
D03069,5,1,450,5,0
D03070,4,2,900,10,0
D03071,3,7,3150,35,1
D03072,2,1,450,2,1
D03073,0,3,1350,15,1
D03074,4,2,900,8,0
D03075,1,2,900,14,1
D03076,0,2,900,6,1
D03077,0,1,450,0,1
D03078,0,1,450,0,1
D03079,0,2,900,12,1
D03080,15,3,1350,15,0
D03081,1,1,450,1,1
D03082,3,4,1800,16,1
D03083,0,2,900,6,1
D03084,1,3,1350,9,1
D03085,0,3,1350,21,1
D03086,1,6,2700,36,1
D03087,2,1,450,2,1
D03088,2,1,450,2,1
D03089,1,1,450,1,1
D03090,0,2,900,12,1
D03091,1,3,1350,12,1
D03092,1,2,900,8,1
D03093,2,1,450,2,1
D03094,21,3,1350,21,0
D03095,3,1,450,3,1
D03096,12,2,900,12,0
D03097,9,5,2250,15,0
D03098,5,3,1350,9,0
D03099,8,50,22500,120,0
D03100,7,4,1800,24,0
D03101,0,10,4500,50,1
D03102,2,1,450,2,1
D03103,1,10,4500,30,1
D03104,1,1,450,1,1
D03105,1,2,900,8,1
D03106,6,2,900,6,0
D03107,0,1,450,0,1
D03108,14,8,3600,32,0
D03109,6,4,1800,12,0
D03110,1,1,450,1,1
D03111,6,8,3600,40,0
D03112,12,2,900,12,0
D03113,0,3,1350,21,1
D03114,0,5,2250,15,1
D03115,2,4,1800,16,1
D03116,0,4,1800,28,1
D03117,3,1,450,3,1
D03118,0,2,900,12,1
D03119,0,1,450,0,1
D03120,4,1,450,4,0
D03121,3,7,3150,21,1
D03122,6,40,18000,120,0
D03123,1,2,900,8,1
D03124,2,4,1800,12,1
D03125,4,23,10350,92,0
D03126,1,6,2700,36,1
D03127,9,2,900,10,0
D03128,2,2,900,12,1
D03129,4,1,450,4,0
D03130,0,20,9000,120,1
D03131,1,1,450,1,1
D03132,0,6,2700,42,1
D03133,5,1,450,5,0
D03134,5,2,900,6,0
D03135,5,2,900,6,0
D03136,4,1,450,4,0
D03137,6,2,900,6,0
D03138,1,1,450,1,1
D03139,0,1,450,0,1
D03140,11,2,900,12,0
D03141,1,50,22500,120,1
D03142,2,6,2700,18,1
D03143,1,1,450,1,1
D03144,4,2,900,12,0
D03145,1,3,1350,12,1
D03146,12,2,900,12,0
D03147,8,5,2250,35,0
D03148,5,2,900,8,0
D03149,0,4,1800,16,1
D03150,5,1,450,5,0
D03151,17,6,2700,24,0
D03152,2,3,1350,12,1
D03153,2,1,450,2,1
D03154,0,2,900,14,1
D03155,3,2,900,10,1
D03156,0,1,450,0,1
D03157,1,5,2250,30,1
D03158,1,8,3600,24,1
D03159,16,37,16650,120,0
D03160,7,10,4500,30,0
D03161,3,2,900,10,1
D03162,5,3,1350,21,0
D03163,25,6,2700,36,0
D03164,2,1,450,2,1
D03165,0,1,450,0,1
D03166,6,3,1350,21,0
D03167,0,5,2250,30,1
D03168,20,4,1800,20,0
D03169,10,2,900,10,0
D03170,13,6,2700,18,0
D03171,0,7,3150,28,1
D03172,5,2,900,6,0
D03173,6,2,900,12,0
D03174,4,7,3150,28,0
D03175,0,7,3150,35,1
D03176,5,1,450,5,0
D03177,12,4,1800,12,0
D03178,0,6,2700,24,1
D03179,1,1,450,1,1
D03180,0,1,450,0,1
D03181,1,5,2250,25,1
D03182,5,1,450,5,0
D03183,0,1,450,0,1
D03184,15,5,2250,15,0
D03185,1,4,1800,20,1
D03186,3,1,450,3,1
D03187,2,8,3600,48,1
D03188,5,1,450,5,0
D03189,7,13,5850,65,0
D03190,4,1,450,4,0
D03191,4,1,450,4,0
D03192,0,1,450,0,1
D03193,1,3,1350,15,1
D03194,5,1,450,5,0
D03195,10,2,900,10,0
D03196,0,1,450,0,1
D03197,2,1,450,2,1
D03198,4,2,900,8,0
D03199,0,3,1350,12,1
D03200,11,4,1800,16,0
D03201,3,1,450,3,1
D03202,2,2,900,14,1
D03203,9,50,22500,120,0
D03204,6,2,900,10,0
D03205,4,1,450,4,0
D03206,6,2,900,6,0
D03207,0,1,450,0,1
D03208,3,11,4950,77,1
D03209,4,3,1350,12,0
D03210,5,3,1350,12,0
D03211,1,1,450,1,1
D03212,1,6,2700,24,1
D03213,0,3,1350,21,1
D03214,1,1,450,1,1
D03215,4,35,15750,105,0
D03216,1,4,1800,24,1
D03217,4,2,900,12,0
D03218,2,1,450,2,1
D03219,5,1,450,5,0
D03220,5,1,450,5,0
D03221,3,1,450,3,1
D03222,2,4,1800,12,1
D03223,5,2,900,8,0
D03224,0,5,2250,30,1
D03225,1,4,1800,12,1
D03226,5,1,450,5,0
D03227,0,2,900,12,1
D03228,2,3,1350,18,1
D03229,6,2,900,6,0
D03230,12,5,2250,35,0
D03231,2,2,900,12,1
D03232,2,2,900,12,1
D03233,4,5,2250,15,0
D03234,1,6,2700,30,1
D03235,6,2,900,6,0
D03236,9,2,900,10,0
D03237,12,2,900,12,0
D03238,0,2,900,10,1
D03239,1,1,450,1,1
D03240,1,1,450,1,1
D03241,6,3,1350,12,0
D03242,0,12,5400,36,1
D03243,9,3,1350,9,0
D03244,3,4,1800,24,1
D03245,7,3,1350,15,0
D03246,0,2,900,12,1
D03247,0,1,450,0,1
D03248,8,2,900,8,0
D03249,9,8,3600,24,0
D03250,7,30,13500,120,0
D03251,10,12,5400,84,0
D03252,4,1,450,4,0
D03253,2,6,2700,18,1
D03254,0,2,900,14,1
D03255,20,5,2250,20,0
D03256,0,2,900,10,1
D03257,3,1,450,3,1
D03258,5,28,12600,120,0
D03259,3,9,4050,63,1
D03260,10,4,1800,12,0
D03261,5,1,450,5,0
D03262,0,4,1800,28,1
D03263,4,1,450,4,0
D03264,6,50,22500,120,0
D03265,2,4,1800,16,1
D03266,1,1,450,1,1
D03267,5,1,450,5,0
D03268,5,2,900,10,0
D03269,3,11,4950,55,1
D03270,11,15,6750,75,0
D03271,2,8,3600,24,1
D03272,7,2,900,14,0
D03273,2,1,450,2,1
D03274,9,3,1350,9,0
D03275,2,2,900,10,1
D03276,0,4,1800,12,1
D03277,4,3,1350,21,0
D03278,10,2,900,10,0
D03279,6,3,1350,9,0
D03280,3,1,450,3,1
D03281,10,3,1350,15,0
D03282,3,1,450,3,1
D03283,1,1,450,1,1
D03284,4,4,1800,28,0
D03285,5,1,450,5,0
D03286,0,2,900,14,1
D03287,2,1,450,2,1
D03288,2,2,900,14,1
D03289,1,19,8550,120,1
D03290,5,1,450,5,0
D03291,1,2,900,6,1
D03292,0,6,2700,42,1
D03293,6,4,1800,24,0
D03294,1,1,450,1,1
D03295,1,1,450,1,1
D03296,2,1,450,2,1
D03297,3,1,450,3,1
D03298,10,2,900,10,0
D03299,4,2,900,14,0
D03300,3,1,450,3,1
D03301,5,1,450,5,0
D03302,3,2,900,6,1
D03303,44,50,22500,120,0
D03304,0,2,900,10,1
D03305,4,1,450,4,0
D03306,1,6,2700,24,1
D03307,2,1,450,2,1
D03308,5,1,450,5,0
D03309,11,4,1800,28,0
D03310,6,3,1350,18,0
D03311,5,2,900,6,0
D03312,0,2,900,14,1
D03313,4,3,1350,15,0
D03314,5,1,450,5,0
D03315,0,4,1800,20,1
D03316,4,6,2700,18,0
D03317,11,7,3150,42,0
D03318,2,2,900,12,1
D03319,9,3,1350,15,0
D03320,8,2,900,14,0
D03321,2,2,900,12,1
D03322,2,6,2700,24,1
D03323,4,1,450,4,0
D03324,13,5,2250,35,0
D03325,5,2,900,8,0
D03326,2,5,2250,15,1
D03327,2,1,450,2,1
D03328,2,5,2250,15,1
D03329,0,2,900,12,1
D03330,3,12,5400,72,1
D03331,0,4,1800,28,1
D03332,2,1,450,2,1
D03333,4,1,450,4,0
D03334,3,1,450,3,1
D03335,1,14,6300,56,1
D03336,0,10,4500,70,1
D03337,9,4,1800,12,0
D03338,0,1,450,0,1
D03339,1,7,3150,49,1
D03340,6,2,900,6,0
D03341,3,1,450,3,1
D03342,9,2,900,14,0
D03343,3,1,450,3,1
D03344,6,2,900,6,0
D03345,8,2,900,10,0
D03346,4,2,900,6,0
D03347,6,2,900,6,0
D03348,6,2,900,8,0
D03349,8,2,900,8,0
D03350,4,1,450,4,0
D03351,0,2,900,14,1
D03352,0,4,1800,28,1
D03353,3,2,900,10,1
D03354,10,2,900,10,0
D03355,4,1,450,4,0
D03356,4,1,450,4,0
D03357,5,1,450,5,0
D03358,16,3,1350,21,0
D03359,5,2,900,6,0
D03360,4,2,900,14,0
D03361,1,33,14850,99,1
D03362,2,2,900,14,1
D03363,5,1,450,5,0
D03364,7,27,12150,120,0
D03365,0,15,6750,60,1
D03366,3,3,1350,12,1
D03367,3,6,2700,30,1
D03368,9,2,900,10,0
D03369,0,3,1350,12,1
D03370,22,12,5400,60,0
D03371,1,2,900,14,1
D03372,2,7,3150,21,1
D03373,1,1,450,1,1
D03374,8,14,6300,98,0
D03375,19,6,2700,30,0
D03376,6,4,1800,20,0
D03377,6,3,1350,12,0
D03378,1,1,450,1,1
D03379,4,1,450,4,0
D03380,4,2,900,8,0
D03381,12,2,900,12,0
D03382,6,6,2700,24,0
D03383,7,3,1350,9,0
D03384,6,2,900,10,0
D03385,5,1,450,5,0
D03386,0,1,450,0,1
D03387,0,6,2700,24,1
D03388,16,4,1800,16,0
D03389,8,2,900,8,0
D03390,0,4,1800,16,1
D03391,3,2,900,8,1
D03392,4,3,1350,21,0
D03393,2,1,450,2,1
D03394,21,3,1350,21,0
D03395,8,18,8100,54,0
D03396,5,2,900,12,0
D03397,5,5,2250,15,0
D03398,3,1,450,3,1
D03399,10,3,1350,15,0
D03400,1,3,1350,18,1
D03401,3,1,450,3,1
D03402,5,1,450,5,0
D03403,1,3,1350,18,1
D03404,9,8,3600,32,0
D03405,1,4,1800,12,1
D03406,5,1,450,5,0
D03407,14,2,900,14,0
D03408,4,6,2700,30,0
D03409,0,4,1800,12,1
D03410,4,1,450,4,0
D03411,1,2,900,10,1
D03412,2,5,2250,25,1
D03413,2,1,450,2,1
D03414,4,1,450,4,0
D03415,5,3,1350,21,0
D03416,4,1,450,4,0
D03417,2,3,1350,12,1
D03418,8,2,900,10,0
D03419,1,1,450,1,1
D03420,5,1,450,5,0
D03421,0,3,1350,9,1
D03422,15,3,1350,15,0
D03423,0,6,2700,18,1
D03424,5,1,450,5,0
D03425,0,1,450,0,1
D03426,3,5,2250,15,1
D03427,5,3,1350,9,0
D03428,10,2,900,10,0
D03429,5,4,1800,20,0
D03430,16,38,17100,114,0
D03431,6,4,1800,16,0
D03432,2,2,900,12,1
D03433,2,1,450,2,1
D03434,11,8,3600,24,0
D03435,0,3,1350,12,1
D03436,3,14,6300,56,1
D03437,8,2,900,10,0
D03438,1,1,450,1,1
D03439,4,1,450,4,0
D03440,9,3,1350,9,0
D03441,3,1,450,3,1
D03442,9,3,1350,9,0
D03443,5,4,1800,12,0
D03444,2,7,3150,49,1
D03445,13,2,900,14,0
D03446,6,4,1800,20,0
D03447,3,1,450,3,1
D03448,7,3,1350,12,0
D03449,0,5,2250,25,1
D03450,0,1,450,0,1
D03451,2,5,2250,35,1
D03452,5,1,450,5,0
D03453,3,1,450,3,1
D03454,4,1,450,4,0
D03455,3,1,450,3,1
D03456,0,2,900,12,1
D03457,0,9,4050,45,1
D03458,4,7,3150,49,0
D03459,4,1,450,4,0
D03460,1,1,450,1,1
D03461,2,1,450,2,1
D03462,2,1,450,2,1
D03463,4,4,1800,20,0
D03464,7,2,900,14,0
D03465,3,1,450,3,1
D03466,5,1,450,5,0
D03467,1,2,900,10,1
D03468,4,2,900,6,0
D03469,1,1,450,1,1
D03470,10,2,900,10,0
D03471,11,12,5400,84,0
D03472,0,2,900,8,1
D03473,6,2,900,6,0
D03474,1,4,1800,28,1
D03475,2,2,900,14,1
D03476,5,13,5850,78,0
D03477,1,22,9900,88,1
D03478,3,1,450,3,1
D03479,8,2,900,8,0
D03480,0,6,2700,42,1
D03481,8,2,900,8,0
D03482,0,2,900,6,1
D03483,0,2,900,12,1
D03484,3,1,450,3,1
D03485,4,10,4500,50,0
D03486,8,2,900,14,0
D03487,2,3,1350,15,1
D03488,4,10,4500,50,0
D03489,1,1,450,1,1
D03490,4,1,450,4,0
D03491,1,2,900,12,1
D03492,1,2,900,10,1
D03493,3,1,450,3,1
D03494,0,2,900,6,1
D03495,23,5,2250,35,0
D03496,2,3,1350,21,1
D03497,0,2,900,12,1
D03498,0,28,12600,84,1
D03499,4,4,1800,24,0
D03500,2,1,450,2,1
D03501,3,2,900,8,1
D03502,1,4,1800,28,1
D03503,10,2,900,10,0
D03504,5,4,1800,28,0
D03505,10,7,3150,49,0
D03506,3,2,900,10,1
D03507,0,2,900,10,1
D03508,0,3,1350,15,1
D03509,4,1,450,4,0
D03510,1,1,450,1,1
D03511,1,1,450,1,1
D03512,5,28,12600,120,0
D03513,0,1,450,0,1
D03514,14,2,900,14,0
D03515,2,1,450,2,1
D03516,4,1,450,4,0
D03517,6,2,900,6,0
D03518,4,1,450,4,0
D03519,9,12,5400,36,0
D03520,15,5,2250,15,0
D03521,3,2,900,14,1
D03522,1,6,2700,18,1
D03523,0,2,900,10,1
D03524,1,1,450,1,1
D03525,3,1,450,3,1
D03526,9,3,1350,9,0
D03527,7,2,900,12,0
D03528,1,1,450,1,1
D03529,2,6,2700,42,1
D03530,5,2,900,12,0
D03531,2,1,450,2,1
D03532,4,3,1350,9,0
D03533,12,2,900,12,0
D03534,3,2,900,6,1
