donor_id,Recency,Frequency,Monetary,Time,donated_last_quarter,Cluster,Segment
D01913,9,3,1350,18,0,0,New Donors
D01914,3,5,2250,25,1,3,New Donors
D01915,4,50,22500,120,0,4,Loyal
D01916,5,1,450,5,0,0,New Donors
D01917,2,2,900,12,1,3,New Donors
D01918,8,2,900,8,0,0,New Donors
D01919,6,2,900,6,0,0,New Donors
D01920,5,3,1350,21,0,0,New Donors
D01921,1,2,900,14,1,3,New Donors
D01922,3,4,1800,16,1,3,New Donors
D01923,0,1,450,0,1,3,New Donors
D01924,0,5,2250,20,1,3,New Donors
D01925,2,1,450,2,1,3,New Donors
D01926,4,3,1350,21,0,0,New Donors
D01927,5,1,450,5,0,0,New Donors
D01928,1,5,2250,30,1,3,New Donors
D01929,7,14,6300,70,0,2,Loyal
D01930,6,9,4050,63,0,2,Loyal
D01931,5,2,900,14,0,0,New Donors
D01932,5,1,450,5,0,0,New Donors
D01933,2,1,450,2,1,3,New Donors
D01934,1,13,5850,65,1,2,Loyal
D01935,7,2,900,14,0,0,New Donors
D01936,4,11,4950,66,0,2,Loyal
D01937,10,3,1350,15,0,0,New Donors
D01938,5,1,450,5,0,0,New Donors
D01939,5,1,450,5,0,0,New Donors
D01940,8,2,900,8,0,0,New Donors
D01941,8,9,4050,54,0,0,New Donors
D01942,4,3,1350,18,0,0,New Donors
D01943,6,2,900,12,0,0,New Donors
D01944,1,2,900,10,1,3,New Donors
D01945,3,1,450,3,1,3,New Donors
D01946,3,1,450,3,1,3,New Donors
D01947,8,6,2700,42,0,0,New Donors
D01948,2,3,1350,21,1,3,New Donors
D01949,1,2,900,14,1,3,New Donors
D01950,3,3,1350,12,1,3,New Donors
D01951,12,17,7650,68,0,2,Loyal
D01952,3,15,6750,60,1,2,Loyal
D01953,0,3,1350,18,1,3,New Donors
D01954,2,1,450,2,1,3,New Donors
D01955,8,7,3150,42,0,0,New Donors
D01956,2,15,6750,75,1,2,Loyal
D01957,3,1,450,3,1,3,New Donors
D01958,3,1,450,3,1,3,New Donors
D01959,4,15,6750,90,0,2,Loyal
D01960,6,3,1350,12,0,0,New Donors
D01961,9,6,2700,24,0,0,New Donors
D01962,4,1,450,4,0,0,New Donors
D01963,0,1,450,0,1,3,New Donors
D01964,4,3,1350,9,0,0,New Donors
D01965,0,27,12150,120,1,2,Loyal
D01966,5,1,450,5,0,0,New Donors
D01967,5,3,1350,18,0,0,New Donors
D01968,0,1,450,0,1,3,New Donors
D01969,1,1,450,1,1,3,New Donors
D01970,3,8,3600,24,1,3,New Donors
D01971,3,2,900,10,1,3,New Donors
D01972,11,3,1350,12,0,1,At Risk
D01973,2,1,450,2,1,3,New Donors
D01974,0,1,450,0,1,3,New Donors
D01975,8,2,900,8,0,0,New Donors
D01976,6,13,5850,91,0,2,Loyal
D01977,8,3,1350,12,0,0,New Donors
D01978,3,1,450,3,1,3,New Donors
D01979,3,2,900,8,1,3,New Donors
D01980,3,11,4950,33,1,2,Loyal
D01981,5,1,450,5,0,0,New Donors
D01982,2,1,450,2,1,3,New Donors
D01983,7,5,2250,15,0,0,New Donors
D01984,6,4,1800,12,0,0,New Donors
D01985,3,1,450,3,1,3,New Donors
D01986,6,12,5400,60,0,2,Loyal
D01987,2,3,1350,12,1,3,New Donors
D01988,4,1,450,4,0,0,New Donors
D01989,4,4,1800,12,0,0,New Donors
D01990,0,1,450,0,1,3,New Donors
D01991,0,1,450,0,1,3,New Donors
D01992,10,2,900,10,0,0,New Donors
D01993,0,4,1800,20,1,3,New Donors
D01994,2,2,900,6,1,3,New Donors
D01995,3,1,450,3,1,3,New Donors
D01996,3,1,450,3,1,3,New Donors
D01997,3,36,16200,120,1,4,Loyal
D01998,2,4,1800,20,1,3,New Donors
D01999,2,1,450,2,1,3,New Donors
D02000,1,8,3600,32,1,3,New Donors
D02001,2,2,900,14,1,3,New Donors
D02002,0,5,2250,20,1,3,New Donors
D02003,3,3,1350,18,1,3,New Donors
D02004,4,2,900,6,0,0,New Donors
D02005,3,3,1350,21,1,3,New Donors
D02006,4,3,1350,12,0,0,New Donors
D02007,1,2,900,10,1,3,New Donors
D02008,11,34,15300,120,0,4,Loyal
D02009,6,2,900,6,0,0,New Donors
D02010,1,9,4050,45,1,3,New Donors
D02011,6,7,3150,21,0,0,New Donors
D02012,0,9,4050,54,1,3,New Donors
D02013,2,7,3150,35,1,3,New Donors
D02014,3,4,1800,20,1,3,New Donors
D02015,8,2,900,10,0,0,New Donors
D02016,11,21,9450,120,0,2,Loyal
D02017,4,1,450,4,0,0,New Donors
D02018,1,4,1800,20,1,3,New Donors
D02019,11,3,1350,12,0,1,At Risk
D02020,4,1,450,4,0,0,New Donors
D02021,17,5,2250,35,0,1,At Risk
D02022,6,7,3150,21,0,0,New Donors
D02023,0,1,450,0,1,3,New Donors
D02024,1,3,1350,21,1,3,New Donors
D02025,2,8,3600,48,1,3,New Donors
D02026,5,1,450,5,0,0,New Donors
D02027,0,3,1350,15,1,3,New Donors
D02028,4,14,6300,70,0,2,Loyal
D02029,7,3,1350,18,0,0,New Donors
D02030,1,4,1800,12,1,3,New Donors
D02031,3,1,450,3,1,3,New Donors
D02032,5,4,1800,12,0,0,New Donors
D02033,3,1,450,3,1,3,New Donors
D02034,3,3,1350,21,1,3,New Donors
D02035,0,2,900,12,1,3,New Donors
D02036,4,1,450,4,0,0,New Donors
D02037,1,2,900,8,1,3,New Donors
D02038,0,1,450,0,1,3,New Donors
D02039,1,3,1350,12,1,3,New Donors
D02040,0,3,1350,21,1,3,New Donors
D02041,4,2,900,8,0,0,New Donors
D02042,3,6,2700,42,1,3,New Donors
D02043,1,1,450,1,1,3,New Donors
D02044,0,1,450,0,1,3,New Donors
D02045,2,1,450,2,1,3,New Donors
D02046,13,8,3600,40,0,1,At Risk
D02047,0,6,2700,18,1,3,New Donors
D02048,4,1,450,4,0,0,New Donors
D02049,0,3,1350,15,1,3,New Donors
D02050,1,2,900,14,1,3,New Donors
D02051,0,1,450,0,1,3,New Donors
D02052,0,2,900,6,1,3,New Donors
D02053,1,2,900,10,1,3,New Donors
D02054,0,1,450,0,1,3,New Donors
D02055,1,3,1350,18,1,3,New Donors
D02056,2,3,1350,15,1,3,New Donors
D02057,5,2,900,10,0,0,New Donors
D02058,1,1,450,1,1,3,New Donors
D02059,1,2,900,8,1,3,New Donors
D02060,1,3,1350,18,1,3,New Donors
D02061,12,6,2700,30,0,1,At Risk
D02062,0,2,900,14,1,3,New Donors
D02063,1,2,900,10,1,3,New Donors
D02064,3,2,900,12,1,3,New Donors
D02065,5,1,450,5,0,0,New Donors
D02066,0,3,1350,21,1,3,New Donors
D02067,6,9,4050,45,0,2,Loyal
D02068,3,1,450,3,1,3,New Donors
D02069,5,1,450,5,0,0,New Donors
D02070,1,1,450,1,1,3,New Donors
D02071,7,11,4950,44,0,2,Loyal
D02072,4,9,4050,45,0,2,Loyal
D02073,7,2,900,10,0,0,New Donors
D02074,7,7,3150,28,0,0,New Donors
D02075,4,1,450,4,0,0,New Donors
D02076,4,19,8550,76,0,2,Loyal
D02077,0,1,450,0,1,3,New Donors
D02078,3,1,450,3,1,3,New Donors
D02079,6,2,900,6,0,0,New Donors
D02080,1,2,900,14,1,3,New Donors
D02081,3,2,900,14,1,3,New Donors
D02082,4,1,450,4,0,0,New Donors
D02083,6,2,900,6,0,0,New Donors
D02084,6,2,900,6,0,0,New Donors
D02085,4,1,450,4,0,0,New Donors
D02086,3,2,900,8,1,3,New Donors
D02087,9,10,4500,30,0,2,Loyal
D02088,3,12,5400,60,1,2,Loyal
D02089,7,35,15750,120,0,4,Loyal
D02090,0,2,900,8,1,3,New Donors
D02091,8,3,1350,18,0,0,New Donors
D02092,1,15,6750,45,1,2,Loyal
D02093,6,4,1800,20,0,0,New Donors
D02094,15,6,2700,30,0,1,At Risk
D02095,1,1,450,1,1,3,New Donors
D02096,5,1,450,5,0,0,New Donors
D02097,2,1,450,2,1,3,New Donors
D02098,2,13,5850,65,1,2,Loyal
D02099,4,6,2700,36,0,0,New Donors
D02100,1,2,900,8,1,3,New Donors
D02101,1,35,15750,120,1,4,Loyal
D02102,1,4,1800,12,1,3,New Donors
D02103,6,2,900,10,0,0,New Donors
D02104,4,12,5400,60,0,2,Loyal
D02105,0,7,3150,35,1,3,New Donors
D02106,0,6,2700,24,1,3,New Donors
D02107,4,2,900,10,0,0,New Donors
D02108,2,2,900,12,1,3,New Donors
D02109,13,3,1350,18,0,1,At Risk
D02110,12,3,1350,12,0,1,At Risk
D02111,2,1,450,2,1,3,New Donors
D02112,3,6,2700,42,1,3,New Donors
D02113,12,2,900,12,0,1,At Risk
D02114,9,10,4500,70,0,2,Loyal
D02115,2,6,2700,18,1,3,New Donors
D02116,11,9,4050,36,0,1,At Risk
D02117,1,1,450,1,1,3,New Donors
D02118,3,3,1350,18,1,3,New Donors
D02119,4,1,450,4,0,0,New Donors
D02120,9,2,900,14,0,0,New Donors
D02121,4,1,450,4,0,0,New Donors
D02122,8,6,2700,18,0,0,New Donors
D02123,4,13,5850,65,0,2,Loyal
D02124,0,2,900,8,1,3,New Donors
D02125,4,1,450,4,0,0,New Donors
D02126,4,17,7650,85,0,2,Loyal
D02127,3,2,900,6,1,3,New Donors
D02128,8,3,1350,18,0,0,New Donors
D02129,3,1,450,3,1,3,New Donors
D02130,2,1,450,2,1,3,New Donors
D02131,2,13,5850,78,1,2,Loyal
D02132,11,3,1350,12,0,1,At Risk
D02133,11,2,900,14,0,1,At Risk
D02134,1,2,900,6,1,3,New Donors
D02135,4,7,3150,21,0,0,New Donors
D02136,2,1,450,2,1,3,New Donors
D02137,4,2,900,12,0,0,New Donors
D02138,1,6,2700,24,1,3,New Donors
D02139,2,2,900,14,1,3,New Donors
D02140,12,3,1350,21,0,1,At Risk
D02141,2,1,450,2,1,3,New Donors
D02142,1,1,450,1,1,3,New Donors
D02143,0,6,2700,30,1,3,New Donors
D02144,9,2,900,12,0,0,New Donors
D02145,8,4,1800,16,0,0,New Donors
D02146,5,1,450,5,0,0,New Donors
D02147,2,1,450,2,1,3,New Donors
D02148,0,2,900,14,1,3,New Donors
D02149,2,3,1350,12,1,3,New Donors
D02150,3,2,900,10,1,3,New Donors
D02151,5,2,900,8,0,0,New Donors
D02152,1,3,1350,15,1,3,New Donors
D02153,0,10,4500,60,1,2,Loyal
D02154,2,46,20700,120,1,4,Loyal
D02155,1,4,1800,20,1,3,New Donors
D02156,1,7,3150,42,1,3,New Donors
D02157,1,3,1350,9,1,3,New Donors
D02158,1,4,1800,28,1,3,New Donors
D02159,0,2,900,10,1,3,New Donors
D02160,5,1,450,5,0,0,New Donors
D02161,6,2,900,8,0,0,New Donors
D02162,6,33,14850,99,0,4,Loyal
D02163,0,1,450,0,1,3,New Donors
D02164,12,2,900,12,0,1,At Risk
D02165,1,2,900,10,1,3,New Donors
D02166,0,2,900,14,1,3,New Donors
D02167,8,2,900,8,0,0,New Donors
D02168,11,4,1800,12,0,1,At Risk
D02169,9,3,1350,9,0,0,New Donors
D02170,1,1,450,1,1,3,New Donors
D02171,1,2,900,12,1,3,New Donors
D02172,4,1,450,4,0,0,New Donors
D02173,1,2,900,10,1,3,New Donors
D02174,3,1,450,3,1,3,New Donors
D02175,3,1,450,3,1,3,New Donors
D02176,3,1,450,3,1,3,New Donors
D02177,0,1,450,0,1,3,New Donors
D02178,5,2,900,14,0,0,New Donors
D02179,5,1,450,5,0,0,New Donors
D02180,7,3,1350,18,0,0,New Donors
D02181,3,2,900,8,1,3,New Donors
D02182,4,1,450,4,0,0,New Donors
D02183,3,2,900,10,1,3,New Donors
D02184,6,5,2250,35,0,0,New Donors
D02185,3,5,2250,30,1,3,New Donors
D02186,9,3,1350,9,0,0,New Donors
D02187,1,4,1800,24,1,3,New Donors
D02188,0,1,450,0,1,3,New Donors
D02189,2,1,450,2,1,3,New Donors
D02190,1,3,1350,9,1,3,New Donors
D02191,5,2,900,6,0,0,New Donors
D02192,5,2,900,12,0,0,New Donors
D02193,0,4,1800,28,1,3,New Donors
D02194,4,1,450,4,0,0,New Donors
D02195,6,9,4050,45,0,2,Loyal
D02196,1,1,450,1,1,3,New Donors
D02197,2,1,450,2,1,3,New Donors
D02198,10,2,900,12,0,0,New Donors
D02199,4,4,1800,28,0,0,New Donors
D02200,4,1,450,4,0,0,New Donors
D02201,1,6,2700,24,1,3,New Donors
D02202,1,1,450,1,1,3,New Donors
D02203,1,1,450,1,1,3,New Donors
D02204,0,1,450,0,1,3,New Donors
D02205,3,1,450,3,1,3,New Donors
D02206,6,2,900,6,0,0,New Donors
D02207,8,5,2250,35,0,0,New Donors
D02208,2,1,450,2,1,3,New Donors
D02209,1,1,450,1,1,3,New Donors
D02210,4,2,900,6,0,0,New Donors
D02211,15,9,4050,63,0,1,At Risk
D02212,0,3,1350,12,1,3,New Donors
D02213,2,1,450,2,1,3,New Donors
D02214,6,2,900,6,0,0,New Donors
D02215,6,2,900,10,0,0,New Donors
D02216,4,3,1350,15,0,0,New Donors
D02217,9,10,4500,50,0,2,Loyal
D02218,9,3,1350,9,0,0,New Donors
D02219,8,2,900,8,0,0,New Donors
D02220,9,19,8550,76,0,2,Loyal
D02221,4,3,1350,18,0,0,New Donors
D02222,6,6,2700,24,0,0,New Donors
D02223,11,10,4500,60,0,1,At Risk
D02224,4,50,22500,120,0,4,Loyal
D02225,4,6,2700,30,0,0,New Donors
D02226,3,3,1350,21,1,3,New Donors
D02227,4,2,900,12,0,0,New Donors
D02228,4,3,1350,15,0,0,New Donors
D02229,3,3,1350,12,1,3,New Donors
D02230,8,2,900,8,0,0,New Donors
D02231,2,1,450,2,1,3,New Donors
D02232,4,1,450,4,0,0,New Donors
D02233,24,4,1800,24,0,1,At Risk
D02234,12,5,2250,35,0,1,At Risk
D02235,18,50,22500,120,0,4,Loyal
D02236,0,12,5400,36,1,2,Loyal
D02237,5,1,450,5,0,0,New Donors
D02238,0,1,450,0,1,3,New Donors
D02239,2,1,450,2,1,3,New Donors
D02240,2,3,1350,21,1,3,New Donors
D02241,2,1,450,2,1,3,New Donors
D02242,3,1,450,3,1,3,New Donors
D02243,1,1,450,1,1,3,New Donors
D02244,2,1,450,2,1,3,New Donors
D02245,5,1,450,5,0,0,New Donors
D02246,5,1,450,5,0,0,New Donors
D02247,3,1,450,3,1,3,New Donors
D02248,12,2,900,12,0,1,At Risk
D02249,12,2,900,12,0,1,At Risk
D02250,10,5,2250,35,0,1,At Risk
D02251,3,3,1350,15,1,3,New Donors
D02252,4,4,1800,24,0,0,New Donors
D02253,9,7,3150,28,0,0,New Donors
D02254,5,1,450,5,0,0,New Donors
D02255,3,19,8550,76,1,2,Loyal
D02256,2,1,450,2,1,3,New Donors
D02257,0,2,900,8,1,3,New Donors
D02258,9,2,900,10,0,0,New Donors
D02259,1,9,4050,63,1,3,New Donors
D02260,0,2,900,10,1,3,New Donors
D02261,0,5,2250,20,1,3,New Donors
D02262,5,1,450,5,0,0,New Donors
D02263,2,3,1350,15,1,3,New Donors
D02264,4,1,450,4,0,0,New Donors
D02265,1,8,3600,40,1,3,New Donors
D02266,2,1,450,2,1,3,New Donors
D02267,3,1,450,3,1,3,New Donors
D02268,1,3,1350,9,1,3,New Donors
D02269,5,3,1350,15,0,0,New Donors
D02270,8,5,2250,30,0,0,New Donors
D02271,1,3,1350,15,1,3,New Donors
D02272,6,4,1800,12,0,0,New Donors
D02273,15,3,1350,21,0,1,At Risk
D02274,9,5,2250,20,0,0,New Donors
D02275,1,1,450,1,1,3,New Donors
D02276,5,11,4950,77,0,2,Loyal
D02277,2,5,2250,15,1,3,New Donors
D02278,6,4,1800,16,0,0,New Donors
D02279,14,6,2700,18,0,1,At Risk
D02280,3,8,3600,56,1,3,New Donors
D02281,6,2,900,6,0,0,New Donors
D02282,1,1,450,1,1,3,New Donors
D02283,6,2,900,14,0,0,New Donors
D02284,1,46,20700,120,1,4,Loyal
D02285,5,2,900,10,0,0,New Donors
D02286,9,2,900,14,0,0,New Donors
D02287,3,9,4050,63,1,2,Loyal
D02288,0,3,1350,9,1,3,New Donors
D02289,0,9,4050,54,1,3,New Donors
D02290,2,1,450,2,1,3,New Donors
D02291,14,2,900,14,0,1,At Risk
D02292,0,1,450,0,1,3,New Donors
D02293,1,6,2700,18,1,3,New Donors
D02294,5,1,450,5,0,0,New Donors
D02295,2,1,450,2,1,3,New Donors
D02296,3,8,3600,48,1,3,New Donors
D02297,0,3,1350,15,1,3,New Donors
D02298,5,1,450,5,0,0,New Donors
D02299,1,2,900,14,1,3,New Donors
D02300,3,1,450,3,1,3,New Donors
D02301,8,2,900,12,0,0,New Donors
D02302,4,1,450,4,0,0,New Donors
D02303,0,1,450,0,1,3,New Donors
D02304,6,4,1800,20,0,0,New Donors
D02305,3,2,900,14,1,3,New Donors
D02306,9,3,1350,18,0,0,New Donors
D02307,0,40,18000,120,1,4,Loyal
D02308,0,4,1800,24,1,3,New Donors
D02309,2,11,4950,55,1,2,Loyal
D02310,0,4,1800,24,1,3,New Donors
D02311,1,5,2250,35,1,3,New Donors
D02312,4,2,900,10,0,0,New Donors
D02313,2,3,1350,18,1,3,New Donors
D02314,0,11,4950,77,1,2,Loyal
D02315,2,5,2250,30,1,3,New Donors
D02316,3,3,1350,9,1,3,New Donors
D02317,4,1,450,4,0,0,New Donors
D02318,0,17,7650,85,1,2,Loyal
D02319,1,2,900,8,1,3,New Donors
D02320,2,3,1350,21,1,3,New Donors
D02321,9,8,3600,24,0,0,New Donors
D02322,2,11,4950,33,1,2,Loyal
D02323,2,4,1800,12,1,3,New Donors
D02324,1,2,900,8,1,3,New Donors
D02325,4,4,1800,20,0,0,New Donors
D02326,7,5,2250,35,0,0,New Donors
D02327,4,2,900,14,0,0,New Donors
D02328,0,1,450,0,1,3,New Donors
D02329,6,2,900,8,0,0,New Donors
D02330,6,2,900,6,0,0,New Donors
D02331,3,1,450,3,1,3,New Donors
D02332,0,4,1800,28,1,3,New Donors
D02333,1,6,2700,24,1,3,New Donors
D02334,1,3,1350,9,1,3,New Donors
D02335,2,1,450,2,1,3,New Donors
D02336,5,1,450,5,0,0,New Donors
D02337,3,3,1350,12,1,3,New Donors
D02338,2,3,1350,15,1,3,New Donors
D02339,0,1,450,0,1,3,New Donors
D02340,0,2,900,6,1,3,New Donors
D02341,13,11,4950,44,0,1,At Risk
D02342,5,1,450,5,0,0,New Donors
D02343,5,1,450,5,0,0,New Donors
D02344,4,1,450,4,0,0,New Donors
D02345,0,50,22500,120,1,4,Loyal
D02346,0,3,1350,18,1,3,New Donors
D02347,3,2,900,10,1,3,New Donors
D02348,9,6,2700,30,0,0,New Donors
D02349,11,2,900,12,0,1,At Risk
D02350,4,2,900,8,0,0,New Donors
D02351,2,1,450,2,1,3,New Donors
D02352,1,1,450,1,1,3,New Donors
D02353,10,3,1350,21,0,0,New Donors
D02354,2,1,450,2,1,3,New Donors
D02355,6,4,1800,12,0,0,New Donors
D02356,3,4,1800,16,1,3,New Donors
D02357,1,4,1800,28,1,3,New Donors
D02358,2,2,900,12,1,3,New Donors
D02359,2,1,450,2,1,3,New Donors
D02360,2,1,450,2,1,3,New Donors
D02361,4,1,450,4,0,0,New Donors
D02362,1,1,450,1,1,3,New Donors
D02363,0,7,3150,35,1,3,New Donors
D02364,15,3,1350,15,0,1,At Risk
D02365,5,1,450,5,0,0,New Donors
D02366,5,2,900,14,0,0,New Donors
D02367,6,2,900,6,0,0,New Donors
D02368,11,3,1350,18,0,1,At Risk
D02369,0,1,450,0,1,3,New Donors
D02370,2,1,450,2,1,3,New Donors
D02371,10,13,5850,52,0,2,Loyal
D02372,10,4,1800,24,0,0,New Donors
D02373,1,1,450,1,1,3,New Donors
D02374,4,1,450,4,0,0,New Donors
D02375,0,1,450,0,1,3,New Donors
D02376,5,1,450,5,0,0,New Donors
D02377,5,1,450,5,0,0,New Donors
D02378,0,3,1350,18,1,3,New Donors
D02379,0,2,900,10,1,3,New Donors
D02380,10,2,900,10,0,0,New Donors
D02381,1,3,1350,18,1,3,New Donors
D02382,2,2,900,10,1,3,New Donors
D02383,1,1,450,1,1,3,New Donors
D02384,1,5,2250,25,1,3,New Donors
D02385,3,2,900,10,1,3,New Donors
D02386,4,2,900,12,0,0,New Donors
D02387,0,1,450,0,1,3,New Donors
D02388,4,2,900,10,0,0,New Donors
D02389,4,6,2700,18,0,0,New Donors
D02390,0,3,1350,9,1,3,New Donors
D02391,4,1,450,4,0,0,New Donors
D02392,2,10,4500,70,1,2,Loyal
D02393,1,7,3150,28,1,3,New Donors
D02394,2,1,450,2,1,3,New Donors
D02395,4,3,1350,21,0,0,New Donors
D02396,1,3,1350,18,1,3,New Donors
D02397,4,3,1350,15,0,0,New Donors
D02398,2,1,450,2,1,3,New Donors
D02399,6,2,900,6,0,0,New Donors
D02400,2,2,900,12,1,3,New Donors
D02401,4,1,450,4,0,0,New Donors
D02402,1,3,1350,9,1,3,New Donors
D02403,3,2,900,10,1,3,New Donors
D02404,0,6,2700,30,1,3,New Donors
D02405,2,2,900,6,1,3,New Donors
D02406,2,1,450,2,1,3,New Donors
D02407,7,7,3150,28,0,0,New Donors
D02408,0,4,1800,12,1,3,New Donors
D02409,8,3,1350,12,0,0,New Donors
D02410,8,4,1800,24,0,0,New Donors
D02411,15,3,1350,15,0,1,At Risk
D02412,8,6,2700,18,0,0,New Donors
D02413,6,6,2700,36,0,0,New Donors
D02414,0,2,900,10,1,3,New Donors
D02415,4,1,450,4,0,0,New Donors
D02416,3,1,450,3,1,3,New Donors
D02417,6,3,1350,9,0,0,New Donors
D02418,0,1,450,0,1,3,New Donors
D02419,10,2,900,10,0,0,New Donors
D02420,3,1,450,3,1,3,New Donors
D02421,1,4,1800,24,1,3,New Donors
D02422,9,3,1350,9,0,0,New Donors
D02423,1,1,450,1,1,3,New Donors
D02424,6,2,900,6,0,0,New Donors
D02425,6,7,3150,35,0,0,New Donors
D02426,1,4,1800,16,1,3,New Donors
D02427,5,13,5850,91,0,2,Loyal
D02428,6,5,2250,35,0,0,New Donors
D02429,2,1,450,2,1,3,New Donors
D02430,5,1,450,5,0,0,New Donors
D02431,5,1,450,5,0,0,New Donors
D02432,9,6,2700,42,0,0,New Donors
D02433,1,2,900,12,1,3,New Donors
D02434,7,7,3150,35,0,0,New Donors
D02435,1,4,1800,20,1,3,New Donors
D02436,2,50,22500,120,1,4,Loyal
D02437,0,1,450,0,1,3,New Donors
D02438,1,1,450,1,1,3,New Donors
D02439,10,9,4050,54,0,1,At Risk
D02440,0,3,1350,15,1,3,New Donors
D02441,6,13,5850,91,0,2,Loyal
D02442,0,11,4950,55,1,2,Loyal
D02443,1,1,450,1,1,3,New Donors
D02444,0,7,3150,28,1,3,New Donors
D02445,1,3,1350,9,1,3,New Donors
D02446,6,2,900,14,0,0,New Donors
D02447,1,1,450,1,1,3,New Donors
D02448,10,14,6300,56,0,2,Loyal
D02449,0,4,1800,24,1,3,New Donors
D02450,5,1,450,5,0,0,New Donors
D02451,1,18,8100,54,1,2,Loyal
D02452,8,3,1350,15,0,0,New Donors
D02453,2,6,2700,42,1,3,New Donors
D02454,5,3,1350,12,0,0,New Donors
D02455,1,2,900,6,1,3,New Donors
D02456,2,1,450,2,1,3,New Donors
D02457,1,1,450,1,1,3,New Donors
D02458,0,1,450,0,1,3,New Donors
D02459,10,50,22500,120,0,4,Loyal
D02460,19,9,4050,63,0,1,At Risk
D02461,0,2,900,10,1,3,New Donors
D02462,0,5,2250,15,1,3,New Donors
D02463,2,1,450,2,1,3,New Donors
D02464,0,6,2700,36,1,3,New Donors
D02465,8,2,900,8,0,0,New Donors
D02466,5,3,1350,12,0,0,New Donors
D02467,5,3,1350,9,0,0,New Donors
D02468,0,3,1350,9,1,3,New Donors
D02469,1,2,900,10,1,3,New Donors
D02470,1,1,450,1,1,3,New Donors
D02471,11,5,2250,25,0,1,At Risk
D02472,3,2,900,14,1,3,New Donors
D02473,2,2,900,6,1,3,New Donors
D02474,1,3,1350,15,1,3,New Donors
D02475,1,3,1350,15,1,3,New Donors
D02476,0,1,450,0,1,3,New Donors
D02477,0,3,1350,18,1,3,New Donors
D02478,1,2,900,12,1,3,New Donors
D02479,9,2,900,10,0,0,New Donors
D02480,16,7,3150,49,0,1,At Risk
D02481,6,12,5400,60,0,2,Loyal
D02482,4,9,4050,36,0,2,Loyal
D02483,19,4,1800,28,0,1,At Risk
D02484,6,5,2250,35,0,0,New Donors
D02485,3,3,1350,21,1,3,New Donors
D02486,1,6,2700,18,1,3,New Donors
D02487,2,11,4950,44,1,2,Loyal
D02488,1,2,900,12,1,3,New Donors
D02489,0,5,2250,25,1,3,New Donors
D02490,15,3,1350,15,0,1,At Risk
D02491,1,4,1800,16,1,3,New Donors
D02492,0,3,1350,21,1,3,New Donors
D02493,17,17,7650,68,0,1,At Risk
D02494,14,2,900,14,0,1,At Risk
D02495,8,6,2700,18,0,0,New Donors
D02496,3,1,450,3,1,3,New Donors
D02497,0,2,900,8,1,3,New Donors
D02498,2,8,3600,24,1,3,New Donors
D02499,1,1,450,1,1,3,New Donors
D02500,2,1,450,2,1,3,New Donors
D02501,5,1,450,5,0,0,New Donors
D02502,1,2,900,8,1,3,New Donors
D02503,7,2,900,10,0,0,New Donors
D02504,4,2,900,10,0,0,New Donors
D02505,5,2,900,8,0,0,New Donors
D02506,8,2,900,14,0,0,New Donors
D02507,6,2,900,14,0,0,New Donors
D02508,4,1,450,4,0,0,New Donors
D02509,9,3,1350,12,0,0,New Donors
D02510,1,16,7200,64,1,2,Loyal
D02511,0,1,450,0,1,3,New Donors
D02512,1,1,450,1,1,3,New Donors
D02513,17,10,4500,70,0,1,At Risk
D02514,1,3,1350,15,1,3,New Donors
D02515,5,4,1800,20,0,0,New Donors
D02516,3,4,1800,20,1,3,New Donors
D02517,0,19,8550,95,1,2,Loyal
D02518,3,1,450,3,1,3,New Donors
D02519,4,1,450,4,0,0,New Donors
D02520,10,2,900,10,0,0,New Donors
D02521,4,2,900,10,0,0,New Donors
D02522,8,2,900,12,0,0,New Donors
D02523,4,2,900,8,0,0,New Donors
D02524,2,1,450,2,1,3,New Donors
D02525,4,1,450,4,0,0,New Donors
D02526,0,5,2250,30,1,3,New Donors
D02527,17,3,1350,18,0,1,At Risk
D02528,0,2,900,12,1,3,New Donors
D02529,3,1,450,3,1,3,New Donors
D02530,6,6,2700,42,0,0,New Donors
D02531,4,2,900,14,0,0,New Donors
D02532,3,1,450,3,1,3,New Donors
D02533,5,1,450,5,0,0,New Donors
D02534,8,2,900,8,0,0,New Donors
D02535,3,5,2250,20,1,3,New Donors
D02536,3,1,450,3,1,3,New Donors
D02537,0,1,450,0,1,3,New Donors
D02538,4,1,450,4,0,0,New Donors
D02539,0,1,450,0,1,3,New Donors
D02540,3,1,450,3,1,3,New Donors
D02541,3,5,2250,30,1,3,New Donors
D02542,1,6,2700,42,1,3,New Donors
D02543,2,1,450,2,1,3,New Donors
D02544,3,2,900,14,1,3,New Donors
D02545,1,1,450,1,1,3,New Donors
D02546,5,1,450,5,0,0,New Donors
D02547,7,8,3600,40,0,0,New Donors
D02548,7,2,900,12,0,0,New Donors
D02549,2,1,450,2,1,3,New Donors
D02550,6,7,3150,28,0,0,New Donors
D02551,0,1,450,0,1,3,New Donors
D02552,0,4,1800,12,1,3,New Donors
D02553,4,3,1350,9,0,0,New Donors
D02554,3,1,450,3,1,3,New Donors
D02555,8,2,900,10,0,0,New Donors
D02556,12,3,1350,12,0,1,At Risk
D02557,0,3,1350,18,1,3,New Donors
D02558,0,4,1800,24,1,3,New Donors
D02559,6,12,5400,72,0,2,Loyal
D02560,7,2,900,14,0,0,New Donors
D02561,2,8,3600,40,1,3,New Donors
D02562,0,2,900,6,1,3,New Donors
